Model,Vehicle,Type,Origin,Seats,Drive,Engine,Cylinders,Horsepower,Mileage Overall,Mileage Highway,Mileage City,Zero-60 (sec),Braking Dry (ft),Braking Wet (ft),Avoidance Maneuver (mph),Length,Width,Height,Wheelbase,Turning Circle,Weight,Max Load,Cargo Volume,Front Shoulder,Front Leg Room,Front Head Room,Rear Shoulder,Rear Leg Room,Rear Head Room,Reliable,Satisfaction,Routine Handling,Emergency Handling,CrashDriver,CrashPassenger,SideCrashDriver,SideCrashPassenger,Frontal Offset-IIHS,Side-IIHS,Rollover Rating,Price,Category,Unnamed: 43
Dodge Challenger,car,coupe,USA,5.0,rear,3.5,6.0,250.0,,,,,131.0,,,198.0,76.0,57.0,116.0,,4140.0,,,58.0,,,54.0,,,,,,,5,5,5,5.0,,,good,31000.0,0.0,
Dodge Charger,car,family car,USA,6.0,rear or parttime 4WD,5.7,8.0,340.0,17.0,26.0,11.0,6.0,131.0,134.0,54.0,200.0,75.0,58.0,120.0,41.0,3895.0,865.0,16.0,60.0,41.5,2.5,58.0,28.0,2.0,average,fair,,,5,5,4,5.0,good,poor,good,29000.0,0.0,
Dodge Dakota,truck,truck,USA,5.0,rear or selectable 4WD,4.7,8.0,230.0,14.0,20.0,9.0,9.0,145.0,156.0,49.0,219.0,74.0,69.0,131.0,46.0,4790.0,1320.0,,57.5,41.5,4.5,57.5,28.0,3.5,poor,poor,,very good,5,5,5,5.0,good,marginal,good,30000.0,0.0,
Dodge Durango,sport utility,large sport utility,USA,7.0,front or all,5.7,8.0,335.0,13.0,20.0,8.0,7.4,144.0,166.0,49.5,201.0,76.0,74.0,119.0,43.0,5150.0,1455.0,44.5,59.0,41.5,4.0,59.0,28.0,4.0,average,poor,,good,5,5,,,,,good,41000.0,0.0,
Dodge Grand Caravan,minivan,minivan,USA,7.0,front or all,3.8,6.0,197.0,16.0,26.0,11.0,10.3,154.0,182.0,47.0,201.0,79.0,69.0,119.0,41.0,4515.0,1185.0,60.0,63.0,38.5,4.5,59.0,31.0,3.5,poor,fair,very good,good,5,5,5,5.0,good,good,good,27000.0,0.0,
Dodge Journey,sport utility,midsize sport utility,USA,5.0,rear or all,3.5,6.0,235.0,16.0,25.0,10.0,8.8,139.0,152.0,50.5,192.0,72.0,67.0,114.0,42.0,5450.0,1165.0,,57.5,40.0,4.5,57.0,26.5,5.0,,,good,good,5,5,5,5.0,,,good,28000.0,0.0,
Dodge Magnum,car,wagon,USA,5.0,rear or selectable 4WD,3.5,6.0,250.0,19.0,30.0,12.0,8.8,138.0,166.0,48.0,198.0,74.0,58.0,120.0,41.0,3950.0,865.0,29.5,54.0,42.0,2.5,58.0,28.5,3.0,average,,,,5,5,4,5.0,,,good,34000.0,0.0,
Dodge Nitro,sport utility,small sport utility,USA,6.0,rear or parttime 4WD,3.7,6.0,210.0,16.0,23.0,11.0,9.1,142.0,167.0,46.5,179.0,73.0,69.0,109.0,39.0,4340.0,1150.0,39.5,57.0,41.5,3.5,56.0,30.0,6.0,poor,poor,,,5,5,5,5.0,good,marginal,average,25000.0,0.0,
Dodge Ram 1500,truck,truck,USA,5.0,all,5.7,8.0,345.0,13.0,19.0,8.0,7.9,153.0,192.0,51.5,228.0,80.0,77.0,141.0,49.0,5380.0,1270.0,,66.5,42.0,6.0,66.5,27.0,3.5,,,good,fair,5,5,,,,,good,35000.0,0.0,
Dodge Viper,car,sports car,USA,5.0,rear,8.3,10.0,510.0,15.0,24.0,10.0,4.2,113.0,130.0,57.0,176.0,75.0,48.0,99.0,43.0,3480.0,465.0,,53.5,40.0,3.5,,,,,,,excellent,,,,,,,,90000.0,0.0,
