Model,Vehicle,Type,Origin,Seats,Drive,Engine,Cylinders,Horsepower,Mileage Overall,Mileage Highway,Mileage City,Zero-60 (sec),Braking Dry (ft),Braking Wet (ft),Avoidance Maneuver (mph),Length,Width,Height,Wheelbase,Turning Circle,Weight,Max Load,Cargo Volume,Front Shoulder,Front Leg Room,Front Head Room,Rear Shoulder,Rear Leg Room,Rear Head Room,Reliable,Satisfaction,Routine Handling,Emergency Handling,CrashDriver,CrashPassenger,SideCrashDriver,SideCrashPassenger,Frontal Offset-IIHS,Side-IIHS,Rollover Rating,Price,Category,Unnamed: 43
Mazda RX-8,car,sports car,Asia,4.0,rear,1.3,1.3,238.0,18.0,22.0,14.0,6.7,117.0,130.0,56.0,174.0,70.0,53.0,106.0,38.0,3085.0,680.0,8.0,54.5,40.0,1.5,50.5,26.0,1.5,average,,excellent,excellent,4,5,4,4.0,,,excellent,31000.0,0.0,
MazdaSpeed3,car,sports car,Asia,4.0,front,2.3,4.0,263.0,24.0,32.0,17.0,6.8,123.0,135.0,56.0,177.0,69.0,58.0,104.0,40.0,3200.0,850.0,,54.5,41.0,5.0,52.5,26.0,4.0,average,excellent,excellent,excellent,4,4,3,3.0,good,,,25000.0,0.0,
Mazda Tribute,sport utility,small sport utility,Asia,5.0,front or 4WD,1.3,1.3,200.0,19.0,26.0,13.0,10.5,161.0,215.0,49.5,175.0,70.0,70.0,103.0,40.0,3575.0,950.0,38.5,56.5,40.5,4.5,55.0,28.0,5.0,average,fair,very good,very good,5,5,5,5.0,good,good,average,23000.0,0.0,
Mazda3,car,wagon,Asia,5.0,front,2.3,4.0,160.0,25.0,35.0,17.0,9.5,129.0,139.0,54.0,178.0,69.0,58.0,104.0,36.0,2815.0,850.0,11.0,55.0,41.5,5.5,53.0,27.0,2.0,excellent,good,excellent,very good,4,4,,,good,,good,24000.0,0.0,
Mazda5,car,wagon,Asia,6.0,front,2.3,4.0,157.0,23.0,31.0,16.0,10.3,142.0,154.0,50.5,182.0,69.0,64.0,108.0,37.0,3480.0,1020.0,39.0,55.0,41.0,4.5,55.0,29.5,4.5,average,average,,,5,5,5,4.0,,,good,22000.0,0.0,
Mazda6,car,wagon,Asia,5.0,front,3.7,6.0,272.0,20.0,31.0,13.0,6.8,133.0,154.0,50.5,194.0,72.0,58.0,110.0,40.0,3185.0,850.0,15.0,56.0,42.0,3.0,55.0,29.0,2.0,,,very good,very good,5,5,5,5.0,good,,excellent,29000.0,0.0,
Mercedes-Benz C-Class,car,upscale car,Europe,5.0,rear or all,3.0,6.0,228.0,21.0,30.0,14.0,6.8,129.0,138.0,54.0,182.0,70.0,57.0,109.0,35.0,3565.0,835.0,12.0,54.0,42.0,2.5,53.5,26.0,1.5,average,average,excellent,very good,4,4,5,5.0,good,good,good,42000.0,0.0,
Mercedes-Benz CLK,car,coupe,Europe,4.0,rear,3.0,6.0,268.0,,,,,,,,183.0,68.0,55.0,107.0,,3515.0,,10.0,53.0,,,49.5,,,average,fair,,,,,,,,,,64000.0,0.0,
Mercedes-Benz CLS,car,luxury car,Europe,4.0,rear,5.0,8.0,302.0,18.0,24.0,12.0,6.1,126.0,133.0,52.5,194.0,74.0,55.0,112.0,38.0,4060.0,915.0,16.0,55.5,44.0,3.5,55.0,27.5,0.5,fair,average,very good,very good,,,,,,,,90000.0,0.0,
Mercedes-Benz E-Class,car,luxury car,Europe,5.0,rear,3.2,6.0,268.0,21.0,29.0,14.0,6.5,136.0,152.0,54.0,190.0,72.0,58.0,112.0,38.0,3845.0,1010.0,16.0,55.0,42.5,3.5,54.0,28.0,3.0,average,average,excellent,very good,4,4,5,5.0,good,acceptable,excellent,83000.0,0.0,
Mercedes-Benz GL-Class,sport utility,luxury sport utility,Europe,7.0,4WD,4.6,8.0,335.0,15.0,22.0,10.0,7.4,136.0,154.0,47.0,200.0,76.0,72.0,121.0,42.0,5575.0,1210.0,45.5,57.0,42.0,5.5,57.0,27.0,5.5,poor,average,,,,,,,,,,75000.0,0.0,
Mercedes-Benz M-Class,sport utility,luxury sport utility,Europe,7.0,4WD,3.5,6.0,268.0,16.0,24.0,11.0,7.8,134.0,143.0,48.5,189.0,75.0,70.0,115.0,38.0,4845.0,1165.0,40.5,57.5,42.0,6.0,57.0,28.0,5.0,average,fair,,,5,5,5,5.0,good,good,good,65000.0,0.0,
Mercedes-Benz R-Class,sport utility,luxury sport utility,Europe,6.0,all,3.5,6.0,268.0,,,,,,,,203.0,76.0,65.0,127.0,41.0,5120.0,1060.0,40.5,59.5,41.5,3.5,59.0,30.5,2.5,poor,fair,,,,,,,good,acceptable,,49000.0,0.0,
Mercedes-Benz S-Class,car,luxury car,Europe,5.0,rear,5.5,8.0,382.0,17.0,27.0,11.0,6.0,141.0,154.0,51.5,205.0,73.0,58.0,125.0,40.0,4490.0,1135.0,16.0,57.0,44.0,4.0,57.5,32.0,4.0,average,excellent,excellent,very good,5,4,5,5.0,,,,125000.0,0.0,
Mercedes-Benz SL,car,sports car,Europe,2.0,rear,5.5,8.0,382.0,17.0,26.0,11.0,5.3,126.0,132.0,54.0,179.0,72.0,51.0,101.0,36.0,4235.0,570.0,10.0,52.5,43.0,2.0,,,,average,,excellent,very good,  ,  ,,,,,,135000.0,0.0,
Mercedes-Benz SLK,car,sports car,Europe,3.0,rear,3.5,6.0,268.0,21.0,29.0,15.0,6.2,118.0,130.0,55.0,161.0,70.0,51.0,96.0,34.0,3315.0,525.0,10.0,51.0,43.0,4.0,,,,average,average,,,,,,,,,,59000.0,0.0,
Mercury Grand Marquis,car,family car,USA,6.0,rear,4.6,8.0,239.0,16.0,25.0,10.0,8.0,140.0,151.0,50.0,212.0,78.0,57.0,115.0,42.0,4180.0,1100.0,21.0,61.0,40.5,5.5,60.5,27.5,3.0,average,average,good,good,5,5,5,5.0,good,marginal,excellent,29000.0,0.0,
Mercury Mariner,sport utility,small sport utility,USA,5.0,front or all,4.6,8.0,200.0,19.0,26.0,13.0,10.5,161.0,215.0,49.5,175.0,70.0,70.0,103.0,40.0,3605.0,1000.0,37.5,56.0,40.5,3.0,55.0,28.0,4.0,average,average,,,5,5,5,5.0,good,good,average,30000.0,0.0,
Mercury Milan,car,family car,USA,5.0,front,2.3,4.0,221.0,20.0,29.0,14.0,8.0,136.0,143.0,52.5,190.0,72.0,56.0,107.0,42.0,3480.0,850.0,16.0,57.5,40.5,2.5,56.0,28.0,2.5,excellent,good,,,5,5,5,4.0,good,good,excellent,26000.0,0.0,
Mercury Montego,car,family car,USA,5.0,front or all,3.0,6.0,203.0,21.0,,,8.7,147.0,,49.5,201.0,75.0,62.0,113.0,41.0,3725.0,950.0,21.0,58.0,40.0,5.0,57.5,31.0,3.0,average,good,,,5,5,5,5.0,,,good,28000.0,0.0,
Mercury Monterey,minivan,minivan,USA,7.0,front,4.2,6.0,201.0,17.0,,,9.2,137.0,,48.5,201.0,77.0,69.0,121.0,42.0,4425.0,1315.0,61.5,61.0,40.0,5.5,64.0,29.0,6.0,average,average,very good,good,5,5,4,5.0,good,,good,33000.0,0.0,
Mercury Mountaineer,sport utility,midsize sport utility,USA,6.0,front or all,2.3,4.0,239.0,15.0,22.0,10.0,9.7,152.0,163.0,50.5,193.0,74.0,73.0,114.0,38.0,4905.0,1275.0,48.0,58.5,40.5,2.5,58.5,28.0,4.0,fair,fair,,,5,5,5,5.0,good,acceptable,average,36000.0,0.0,
Mercury Sable,car,family car,USA,5.0,front or all,2.3,4.0,263.0,18.0,27.0,12.0,7.9,138.0,149.0,53.0,202.0,75.0,62.0,113.0,42.0,3900.0,950.0,21.0,57.5,41.0,3.5,57.5,32.0,4.0,average,average,,,5,5,5,5.0,good,good,good,30000.0,0.0,
Mini Cooper,car,small car,Europe,4.0,front,1.6,4.0,118.0,29.0,37.0,21.0,10.5,128.0,134.0,56.0,146.0,66.0,55.0,97.0,37.0,2690.0,815.0,11.0,49.0,41.5,3.5,43.5,22.0,2.0,excellent,excellent,excellent,very good,4,4,5,4.0,good,acceptable,excellent,28000.0,0.0,
Mitsubishi Eclipse,car,convertible,Asia,4.0,front,3.8,6.0,260.0,19.0,28.0,13.0,6.8,135.0,149.0,51.5,180.0,72.0,54.0,101.0,42.0,3345.0,660.0,16.0,55.0,41.5,2.5,44.0,23.5,0.0,average,fair,very good,good,,,,,good,good,,28000.0,0.0,
Mitsubishi Endeavor,sport utility,small sport utility,Asia,5.0,front or all,3.8,6.0,215.0,17.0,22.0,12.0,8.2,137.0,147.0,48.5,190.0,74.0,70.0,108.0,41.0,4195.0,970.0,40.0,58.5,41.5,4.5,58.0,30.0,4.5,,,good,good,5,4,5,5.0,good,good,,29000.0,0.0,
Mitsubishi Galant,car,family car,Asia,5.0,front,3.8,6.0,230.0,20.0,28.0,14.0,7.2,144.0,153.0,52.5,190.0,72.0,58.0,108.0,43.0,3715.0,825.0,13.0,57.0,41.0,2.5,55.5,29.5,2.0,,,very good,good,5,4,5,4.0,good,good,good,27000.0,0.0,
Mitsubishi Lancer,car,small car,Asia,5.0,front,2.0,4.0,152.0,25.0,34.0,17.0,9.8,144.0,159.0,49.5,180.0,69.0,59.0,104.0,37.0,3015.0,825.0,11.0,55.0,40.5,5.0,54.0,27.0,1.5,,,very good,very good,,,,,good,good,good,25000.0,0.0,
Mitsubishi Montero,sport utility,midsize sport utility,Asia,7.0,selectable 4WD,3.8,6.0,215.0,14.0,,,9.7,132.0,,47.0,190.0,75.0,72.0,110.0,40.0,4955.0,1180.0,45.0,58.0,41.0,4.5,57.5,30.5,3.0,,,fair,poor,  ,  ,,,acceptable,,,35000.0,0.0,
Mitsubishi Outlander,sport utility,small sport utility,Asia,5.0,front or all,3.0,6.0,220.0,19.0,26.0,13.0,8.3,132.0,142.0,52.5,183.0,71.0,66.0,105.0,38.0,3925.0,1155.0,33.5,56.0,41.0,4.5,55.0,30.0,3.0,good,average,excellent,very good,5,5,5,5.0,good,good,good,24000.0,0.0,
Mitsubishi Raider,truck,truck,Asia,5.0,rear or parttime 4WD,4.7,8.0,230.0,,,,,,,,220.0,72.0,69.0,131.0,,4700.0,1450.0,,57.5,,,57.5,,,,,,,5,5,5,5.0,good,marginal,good,35000.0,0.0,
Nissan 350Z,car,sports car,Asia,2.0,rear,3.5,6.0,287.0,20.0,27.0,14.0,6.2,124.0,130.0,57.0,169.0,72.0,52.0,104.0,37.0,3640.0,450.0,4.0,53.0,40.5,4.5,,,,excellent,good,excellent,excellent,5,4,5,,,,excellent,42000.0,0.0,
Nissan Altima,car,family car,Asia,5.0,front,3.5,6.0,270.0,23.0,30.0,16.0,6.4,136.0,144.0,53.0,190.0,71.0,58.0,109.0,40.0,3435.0,900.0,16.0,54.5,41.5,3.5,53.5,29.0,2.0,average,good,very good,very good,5,5,5,5.0,good,good,good,28000.0,0.0,
Nissan Armada,sport utility,large sport utility,Asia,8.0,rear or selectable 4WD,5.6,8.0,317.0,13.0,19.0,9.0,7.2,132.0,140.0,46.0,208.0,79.0,76.0,123.0,44.0,5715.0,1375.0,58.5,65.0,41.5,6.0,64.0,33.5,5.0,average,,good,good,5,4,,,good,good,average,45000.0,0.0,
Nissan Frontier,truck,truck,Asia,5.0,rear or parttime 4WD,4.0,6.0,261.0,15.0,21.0,11.0,7.9,142.0,156.0,50.0,206.0,73.0,70.0,126.0,46.0,4655.0,1160.0,,58.0,40.0,3.0,58.0,27.0,3.5,good,average,good,good,4,4,5,5.0,good,marginal,good,29000.0,0.0,
Nissan GT-R,car,sports car,Asia,4.0,all,3.8,6.0,480.0,,,,,,,,183.0,75.0,54.0,110.0,,,,9.0,,,,,,,,,,,5,5,5,5.0,,,,78000.0,0.0,
Nissan Maxima,car,upscale car,Asia,5.0,front,3.5,6.0,290.0,22.0,29.0,16.0,6.2,128.0,143.0,52.5,191.0,73.0,58.0,109.0,41.0,3555.0,900.0,16.0,55.5,42.0,4.0,54.5,30.0,2.0,,,very good,very good,5,5,5,5.0,good,,excellent,33000.0,0.0,
Nissan Murano,sport utility,small sport utility,Asia,5.0,front or all,3.5,6.0,265.0,19.0,26.0,13.0,7.6,136.0,148.0,48.5,189.0,74.0,67.0,111.0,40.0,4030.0,1200.0,,59.5,40.5,3.0,58.5,28.0,3.0,good,excellent,very good,good,4,4,5,5.0,good,good,good,36000.0,0.0,
Nissan Pathfinder,sport utility,midsize sport utility,Asia,5.0,rear or parttime 4WD,4.0,6.0,270.0,15.0,23.0,10.0,8.0,143.0,172.0,46.5,188.0,73.0,70.0,112.0,43.0,4875.0,1125.0,48.0,58.0,38.0,3.0,58.0,27.5,4.5,average,fair,very good,good,4,4,,,good,good,average,38000.0,0.0,
Nissan Quest,minivan,minivan,Asia,6.0,front,3.5,6.0,235.0,18.0,27.0,12.0,8.4,141.0,153.0,50.0,204.0,78.0,70.0,124.0,45.0,4550.0,1205.0,60.0,63.5,40.0,5.5,65.5,33.0,8.5,fair,fair,very good,good,5,5,5,5.0,good,good,good,34000.0,0.0,
Nissan Rogue,sport utility,small sport utility,Asia,5.0,front or all,2.5,4.0,170.0,22.0,27.0,17.0,8.9,137.0,143.0,52.0,183.0,71.0,65.0,106.0,39.0,3535.0,900.0,24.5,55.5,42.0,3.5,52.0,30.0,4.0,good,average,very good,very good,5,4,5,5.0,good,good,good,23000.0,0.0,
Nissan Sentra,car,small car,Asia,5.0,front,2.0,4.0,140.0,26.0,34.0,18.0,9.6,149.0,164.0,49.5,180.0,71.0,60.0,106.0,38.0,3010.0,850.0,13.0,56.5,41.0,6.0,53.5,26.5,2.0,average,fair,very good,very good,5,5,5,4.0,,,good,20000.0,0.0,
Nissan Titan,truck,truck,Asia,6.0,rear or parttime 4WD,5.6,8.0,317.0,13.0,18.0,9.0,7.3,139.0,154.0,47.5,224.0,79.0,77.0,140.0,49.0,5380.0,1105.0,,65.0,41.5,5.5,64.5,32.0,5.0,average,average,good,fair,5,4,,,good,,good,37000.0,0.0,
Nissan Versa,car,small car,Asia,5.0,front,1.8,4.0,122.0,28.0,36.0,20.0,10.1,145.0,163.0,52.0,169.0,67.0,60.0,102.0,37.0,2805.0,860.0,18.0,53.5,40.0,5.0,50.5,30.0,3.5,average,average,,,4,4,4,4.0,good,good,good,16000.0,0.0,
Nissan Xterra,sport utility,small sport utility,Asia,5.0,rear or parttime 4WD,4.0,6.0,261.0,17.0,23.0,12.0,7.7,135.0,158.0,50.0,179.0,73.0,75.0,106.0,40.0,4480.0,920.0,45.5,58.0,41.0,4.0,57.0,28.0,4.0,good,average,good,good,4,4,5,5.0,good,good,average,28000.0,0.0,
Pontiac Aztek,sport utility,small sport utility,USA,5.0,front or all,3.4,6.0,185.0,17.0,,,11.3,150.0,,49.0,182.0,74.0,67.0,108.0,39.0,4170.0,1185.0,49.0,59.0,41.0,3.5,59.0,29.0,4.0,fair,fair,good,good,3,4,5,3.0,marginal,,,23000.0,0.0,
Pontiac Bonneville,car,family car,USA,6.0,front,3.8,6.0,205.0,20.0,,,8.7,145.0,,51.0,203.0,74.0,57.0,112.0,43.0,3640.0,935.0,16.0,58.5,40.5,2.5,57.0,27.0,2.0,fair,fair,very good,good,4,5,4,4.0,good,,excellent,32000.0,0.0,
Pontiac G5,car,coupe,USA,5.0,front,2.4,4.0,173.0,,,,,,,,180.0,68.0,56.0,104.0,,2990.0,,14.0,53.0,,,49.5,,,average,,,,4,5,4,4.0,,,good,19000.0,0.0,
Pontiac G6,car,family car,USA,5.0,front,3.5,6.0,224.0,20.0,31.0,12.0,7.7,143.0,154.0,51.5,189.0,71.0,57.0,112.0,43.0,3540.0,890.0,14.0,54.5,41.5,3.5,51.5,30.0,2.0,fair,fair,very good,good,5,4,5,5.0,good,acceptable,excellent,30000.0,0.0,
Pontiac G8,car,upscale car,USA,5.0,rear,3.8,6.0,361.0,22.0,29.0,16.0,5.7,129.0,146.0,51.5,196.0,75.0,58.0,115.0,,3995.0,925.0,18.0,59.0,42.0,3.0,58.0,29.5,3.0,,,excellent,very good,4,4,4,,good,acceptable,,32000.0,0.0,
Pontiac Grand Prix,car,family car,USA,5.0,front,3.8,6.0,200.0,20.0,,,8.3,153.0,,49.0,198.0,72.0,56.0,111.0,41.0,3630.0,915.0,16.0,57.5,41.5,2.0,57.5,28.0,2.0,good,poor,very good,good,3,4,3,3.0,,,good,28000.0,0.0,
Pontiac GTO,car,coupe,USA,4.0,rear,5.7,8.0,350.0,17.0,,,5.5,143.0,,50.0,190.0,73.0,55.0,110.0,37.0,3770.0,740.0,13.0,59.0,41.0,3.0,50.5,26.0,1.5,fair,good,,,,,,,,,,32000.0,0.0,
Pontiac Montana,minivan,minivan,USA,8.0,front,3.5,6.0,200.0,17.0,,,10.2,136.0,,48.5,205.0,72.0,72.0,121.0,43.0,4380.0,1290.0,75.5,59.5,40.5,5.0,62.0,26.0,4.0,poor,fair,good,good,4,4,,,,,,30000.0,0.0,
Pontiac Solstice,car,sports car,USA,2.0,rear,2.4,4.0,177.0,23.0,30.0,16.0,7.2,133.0,148.0,56.5,157.0,71.0,50.0,95.0,36.0,2925.0,355.0,4.0,51.5,42.0,3.5,,,,poor,fair,very good,very good,4,4,4,,,,excellent,29000.0,0.0,
Pontiac Torrent,sport utility,small sport utility,USA,5.0,front or all,2.4,4.0,126.0,18.0,25.0,12.0,9.1,146.0,153.0,49.5,189.0,71.0,69.0,113.0,43.0,3880.0,1230.0,36.5,55.5,41.0,4.0,55.5,32.0,5.0,average,poor,,,,,,,good,,good,23000.0,0.0,
Pontiac Vibe,car,wagon,USA,5.0,front or all,2.4,4.0,130.0,27.0,36.0,19.0,8.3,132.0,142.0,52.0,173.0,70.0,61.0,102.0,,3140.0,850.0,,53.0,,,52.5,,,excellent,good,very good,good,5,5,5,4.0,good,good,good,20000.0,1.0,
Porsche 911,car,sports car,Europe,4.0,rear or all,3.8,6.0,355.0,20.0,28.0,15.0,4.4,113.0,127.0,59.5,176.0,71.0,52.0,93.0,37.0,3305.0,660.0,5.0,50.5,42.5,4.0,44.0,22.0,0.0,average,excellent,excellent,excellent,,,,,,,,95000.0,0.0,
Porsche Boxster,car,sports car,Europe,2.0,rear,2.7,6.0,240.0,22.0,29.0,16.0,6.5,112.0,123.0,57.5,172.0,70.0,51.0,95.0,37.0,3015.0,420.0,9.0,50.5,41.0,4.5,,,,good,excellent,excellent,excellent,  ,  ,,,,,,60000.0,0.0,
Porsche Cayenne,sport utility,luxury sport utility,Europe,5.0,all,4.8,8.0,385.0,15.0,22.0,10.0,7.0,142.0,156.0,51.0,188.0,76.0,67.0,112.0,39.0,4950.0,1840.0,,58.5,41.0,4.5,56.5,27.0,4.0,poor,good,very good,good,,,,,,,,75000.0,0.0,
Porsche Cayman,car,sports car,Europe,2.0,rear,3.4,6.0,295.0,,,,,,,,172.0,71.0,51.0,95.0,,2955.0,,9.0,50.5,,,,,,average,excellent,,,,,,,,,,60000.0,0.0,
Saab 9-2X,car,wagon,Europe,5.0,all,2.5,4.0,173.0,22.0,,,10.5,135.0,,51.0,176.0,67.0,58.0,99.0,39.0,3140.0,900.0,19.0,52.5,40.5,5.0,52.5,26.0,3.5,good,,very good,good,4,5,4,4.0,good,,good,26000.0,0.0,
Saab 9-3,car,upscale car,Europe,5.0,front,2.0,4.0,210.0,23.0,38.0,15.0,8.0,131.0,136.0,53.5,183.0,71.0,58.0,105.0,40.0,3570.0,930.0,15.0,54.5,41.0,3.0,54.0,25.0,2.0,average,average,very good,very good,4,4,5,4.0,good,good,good,44000.0,0.0,
Saab 9-5,car,upscale car,Europe,5.0,front,2.3,4.0,260.0,21.0,33.0,13.0,7.2,128.0,139.0,56.0,190.0,71.0,57.0,106.0,40.0,3545.0,930.0,16.0,56.0,41.0,3.0,55.5,28.0,2.5,good,,very good,very good,5,5,5,4.0,good,acceptable,good,42000.0,0.0,
Saab 9-7X,sport utility,midsize sport utility,Europe,5.0,all,5.3,8.0,300.0,,,,,,,,193.0,75.0,69.0,113.0,39.0,4740.0,1090.0,39.0,59.0,41.0,5.5,59.0,27.5,4.0,,,,,3,4,5,5.0,acceptable,marginal,good,48000.0,0.0,
Saturn Astra,car,wagon,USA,5.0,front,1.8,4.0,138.0,25.0,34.0,17.0,11.0,134.0,150.0,54.5,171.0,69.0,55.0,103.0,37.0,2910.0,1060.0,13.0,53.0,41.0,3.0,52.0,27.0,2.5,,,very good,very good,5,5,5,5.0,good,marginal,,19000.0,1.0,
Saturn Aura,car,family car,USA,5.0,front,2.4,4.0,169.0,24.0,37.0,15.0,9.4,137.0,158.0,51.0,190.0,70.0,58.0,112.0,40.0,3355.0,910.0,16.0,54.5,41.0,4.0,53.0,29.0,2.0,average,good,very good,good,5,5,5,5.0,good,good,good,25000.0,1.0,
Saturn Ion,car,small car,USA,5.0,front,2.2,4.0,140.0,25.0,,,9.2,130.0,,51.5,185.0,67.0,57.0,103.0,37.0,2865.0,900.0,15.0,54.0,40.0,5.5,52.5,25.5,1.0,average,poor,very good,good,,,,,,,,19000.0,1.0,
Saturn Outlook,sport utility,midsize sport utility,USA,8.0,front or all,3.6,6.0,275.0,16.0,24.0,10.0,8.8,142.0,162.0,50.0,201.0,78.0,70.0,119.0,42.0,5015.0,1320.0,48.5,62.0,41.0,3.5,60.5,30.0,3.5,fair,average,very good,good,5,5,5,5.0,good,good,good,35000.0,0.0,
Saturn Relay,minivan,minivan,USA,7.0,front or all,3.5,6.0,200.0,17.0,,,10.2,136.0,,48.5,205.0,72.0,72.0,121.0,43.0,4420.0,1290.0,51.0,59.0,40.0,4.0,61.0,26.0,3.5,poor,fair,good,fair,4,5,,,,,,27000.0,0.0,
Saturn Sky,car,sports car,USA,2.0,rear,2.0,4.0,260.0,24.0,34.0,16.0,6.2,136.0,156.0,56.5,161.0,71.0,50.0,95.0,37.0,3065.0,425.0,4.0,51.5,41.0,2.0,,,,poor,good,very good,excellent,4,4,4,,,,excellent,30000.0,0.0,
Saturn Vue,sport utility,small sport utility,USA,5.0,front or all,3.6,6.0,257.0,17.0,25.0,12.0,8.2,145.0,162.0,49.0,180.0,73.0,67.0,107.0,42.0,3915.0,915.0,28.0,55.0,40.0,6.0,56.0,26.5,5.0,poor,fair,very good,good,5,5,5,5.0,good,good,good,27000.0,0.0,
Scion tC,car,coupe,Asia,5.0,front,2.4,4.0,160.0,26.0,33.0,19.0,8.8,136.0,147.0,51.0,174.0,69.0,56.0,106.0,37.0,2890.0,865.0,13.0,53.5,40.5,2.0,48.0,29.0,1.0,excellent,average,,,5,4,5,5.0,,,good,18000.0,0.0,
Scion xA,car,small car,Asia,5.0,front,1.5,4.0,108.0,30.0,,,11.1,135.0,,52.0,154.0,67.0,60.0,93.0,38.0,2400.0,825.0,12.0,52.0,39.5,4.5,50.5,26.0,2.5,good,good,very good,good,4,4,4,4.0,,,,15000.0,0.0,
Scion xB,car,small car,Asia,5.0,front,2.4,4.0,158.0,23.0,30.0,16.0,9.4,137.0,148.0,53.0,167.0,69.0,64.0,102.0,37.0,3120.0,850.0,34.0,55.5,41.0,5.5,53.5,29.0,6.5,excellent,good,very good,good,4,4,5,5.0,good,good,good,17000.0,0.0,
Scion xD,car,small car,Asia,5.0,front,1.8,4.0,128.0,29.0,38.0,20.0,9.7,136.0,140.0,56.0,155.0,68.0,60.0,97.0,39.0,2645.0,845.0,11.0,52.0,39.5,3.5,49.0,26.5,1.5,excellent,good,very good,very good,4,4,5,5.0,acceptable,good,good,16000.0,0.0,
Smart ForTwo,car,small car,Europe,2.0,rear,1.0,3.0,71.0,39.0,44.0,30.0,14.6,139.0,153.0,50.0,106.0,61.0,61.0,74.0,30.0,1745.0,575.0,8.0,48.0,41.5,3.0,,,,excellent,excellent,fair,fair,,,,,good,good,average,15000.0,0.0,
Subaru B9 Tribeca,sport utility,small sport utility,Asia,7.0,all,3.0,6.0,250.0,,,,,,,,190.0,74.0,66.0,108.0,,4245.0,,,58.0,,4.5,57.0,26.0,3.5,good,,,,,,,,,,,35000.0,0.0,
Subaru Baja,truck,truck,Asia,4.0,all,2.5,4.0,165.0,20.0,26.0,14.0,7.2,135.0,153.0,52.0,193.0,70.0,61.0,104.0,41.0,3575.0,800.0,,54.0,41.0,2.5,53.5,27.0,1.5,good,good,,,,,,,,,,24000.0,0.0,
Subaru Forester,sport utility,small sport utility,Asia,5.0,all,2.5,4.0,224.0,24.0,31.0,17.0,9.5,135.0,145.0,52.5,177.0,68.0,65.0,99.0,38.0,3260.0,900.0,35.5,53.0,41.5,5.5,53.0,27.0,5.0,average,good,very good,good,5,5,5,5.0,good,good,good,28000.0,0.0,
Subaru Impreza,car,small car,Asia,5.0,all,2.5,4.0,170.0,18.0,27.0,11.0,7.5,140.0,151.0,51.5,174.0,69.0,58.0,103.0,38.0,3155.0,900.0,22.5,54.5,41.5,6.0,52.0,28.5,3.5,good,average,very good,very good,5,5,5,4.0,good,good,good,33000.0,0.0,
Subaru Legacy,car,family car,Asia,5.0,all,2.5,4.0,250.0,19.0,28.0,13.0,8.8,137.0,162.0,48.0,186.0,68.0,56.0,105.0,38.0,3540.0,850.0,11.0,54.0,41.0,2.5,53.0,28.0,2.0,average,good,,,5,5,5,5.0,good,good,good,31000.0,0.0,
Subaru Outback,car,wagon,Asia,5.0,all,3.0,6.0,250.0,16.0,23.0,11.0,8.6,139.0,162.0,49.0,189.0,70.0,63.0,105.0,38.0,3545.0,900.0,31.0,52.0,41.0,3.0,53.0,28.0,2.0,good,good,,,5,5,5,5.0,,,good,33000.0,0.0,
Subaru Tribeca,sport utility,midsize sport utility,Asia,7.0,all,3.6,6.0,256.0,16.0,,,8.6,139.0,,,192.0,74.0,66.0,108.0,40.0,4280.0,1155.0,35.5,58.0,42.0,3.5,57.0,26.0,3.0,good,fair,very good,good,5,5,5,5.0,good,good,good,36000.0,0.0,
Suzuki Aerio,car,small car,Asia,5.0,front,2.0,4.0,145.0,25.0,,,9.8,143.0,,51.5,171.0,68.0,61.0,98.0,37.0,2715.0,895.0,15.0,54.0,40.5,6.0,53.0,28.0,2.0,average,poor,very good,good,,,,,good,,,20000.0,0.0,
Suzuki Forenza,car,small car,Asia,5.0,front,2.0,4.0,126.0,24.0,,,11.3,147.0,,49.5,177.0,68.0,57.0,102.0,36.0,2815.0,875.0,12.0,55.0,41.5,4.5,53.0,28.0,3.0,,,good,fair,,,,,good,good,good,18000.0,0.0,
Suzuki Grand Vitara,sport utility,small sport utility,Asia,7.0,rear or parttime 4WD,2.7,6.0,185.0,18.0,24.0,13.0,9.5,138.0,147.0,52.0,176.0,71.0,67.0,104.0,38.0,3650.0,905.0,25.0,56.0,41.5,5.0,54.5,28.0,3.5,fair,,very good,good,4,4,5,5.0,good,acceptable,good,25000.0,0.0,
Suzuki SX4,car,small car,Asia,5.0,front or all,2.0,4.0,143.0,22.0,31.0,15.0,12.2,137.0,150.0,53.5,163.0,69.0,63.0,98.0,37.0,2995.0,815.0,16.0,53.0,40.0,4.0,51.5,26.0,3.0,excellent,average,very good,very good,4,4,5,4.0,good,good,good,19000.0,0.0,
Suzuki Verona,car,small car,Asia,6.0,front,2.5,4.0,155.0,20.0,,,10.3,130.0,,51.0,188.0,72.0,57.0,106.0,38.0,3370.0,900.0,13.0,57.0,40.5,4.0,56.0,28.5,1.5,,,good,good,,,,,,,,21000.0,0.0,
Suzuki XL-7,sport utility,small sport utility,Asia,7.0,rear or parttime 4WD,3.6,6.0,252.0,17.0,25.0,11.0,7.7,137.0,147.0,51.5,197.0,72.0,69.0,112.0,44.0,4190.0,1190.0,36.5,55.5,41.0,6.0,56.0,29.0,4.0,poor,,,,5,5,5,5.0,good,acceptable,good,29000.0,0.0,
